date,demand_quantity,part_id,category,service_center
2023-01-01,190,Part-001 (High Vol),High Moving,North
2023-01-02,211,Part-001 (High Vol),High Moving,North
2023-01-03,252,Part-001 (High Vol),High Moving,North
2023-01-04,238,Part-001 (High Vol),High Moving,North
2023-01-05,262,Part-001 (High Vol),High Moving,North
2023-01-06,230,Part-001 (High Vol),High Moving,North
2023-01-07,271,Part-001 (High Vol),High Moving,North
2023-01-08,271,Part-001 (High Vol),High Moving,North
2023-01-09,263,Part-001 (High Vol),High Moving,North
2023-01-10,224,Part-001 (High Vol),High Moving,North
2023-01-11,264,Part-001 (High Vol),High Moving,North
2023-01-12,261,Part-001 (High Vol),High Moving,North
2023-01-13,257,Part-001 (High Vol),High Moving,North
2023-01-14,261,Part-001 (High Vol),High Moving,North
2023-01-15,226,Part-001 (High Vol),High Moving,North
2023-01-16,247,Part-001 (High Vol),High Moving,North
2023-01-17,241,Part-001 (High Vol),High Moving,North
2023-01-18,267,Part-001 (High Vol),High Moving,North
2023-01-19,262,Part-001 (High Vol),High Moving,North
2023-01-20,240,Part-001 (High Vol),High Moving,North
2023-01-21,254,Part-001 (High Vol),High Moving,North
2023-01-22,253,Part-001 (High Vol),High Moving,North
2023-01-23,208,Part-001 (High Vol),High Moving,North
2023-01-24,245,Part-001 (High Vol),High Moving,North
2023-01-25,236,Part-001 (High Vol),High Moving,North
2023-01-26,258,Part-001 (High Vol),High Moving,North
2023-01-27,252,Part-001 (High Vol),High Moving,North
2023-01-28,247,Part-001 (High Vol),High Moving,North
2023-01-29,233,Part-001 (High Vol),High Moving,North
2023-01-30,237,Part-001 (High Vol),High Moving,North
2023-01-31,238,Part-001 (High Vol),High Moving,North
2023-02-01,242,Part-001 (High Vol),High Moving,North
2023-02-02,219,Part-001 (High Vol),High Moving,North
2023-02-03,219,Part-001 (High Vol),High Moving,North
2023-02-04,222,Part-001 (High Vol),High Moving,North
2023-02-05,209,Part-001 (High Vol),High Moving,North
2023-02-06,236,Part-001 (High Vol),High Moving,North
2023-02-07,238,Part-001 (High Vol),High Moving,North
2023-02-08,238,Part-001 (High Vol),High Moving,North
2023-02-09,212,Part-001 (High Vol),High Moving,North
2023-02-10,212,Part-001 (High Vol),High Moving,North
2023-02-11,260,Part-001 (High Vol),High Moving,North
2023-02-12,221,Part-001 (High Vol),High Moving,North
2023-02-13,260,Part-001 (High Vol),High Moving,North
2023-02-14,265,Part-001 (High Vol),High Moving,North
2023-02-15,249,Part-001 (High Vol),High Moving,North
2023-02-16,239,Part-001 (High Vol),High Moving,North
2023-02-17,240,Part-001 (High Vol),High Moving,North
2023-02-18,246,Part-001 (High Vol),High Moving,North
2023-02-19,260,Part-001 (High Vol),High Moving,North
2023-02-20,258,Part-001 (High Vol),High Moving,North
2023-02-21,256,Part-001 (High Vol),High Moving,North
2023-02-22,249,Part-001 (High Vol),High Moving,North
2023-02-23,276,Part-001 (High Vol),High Moving,North
2023-02-24,261,Part-001 (High Vol),High Moving,North
2023-02-25,271,Part-001 (High Vol),High Moving,North
2023-02-26,276,Part-001 (High Vol),High Moving,North
2023-02-27,268,Part-001 (High Vol),High Moving,North
2023-02-28,265,Part-001 (High Vol),High Moving,North
2023-03-01,271,Part-001 (High Vol),High Moving,North
2023-03-02,292,Part-001 (High Vol),High Moving,North
2023-03-03,261,Part-001 (High Vol),High Moving,North
2023-03-04,258,Part-001 (High Vol),High Moving,North
2023-03-05,264,Part-001 (High Vol),High Moving,North
2023-03-06,267,Part-001 (High Vol),High Moving,North
2023-03-07,268,Part-001 (High Vol),High Moving,North
2023-03-08,246,Part-001 (High Vol),High Moving,North
2023-03-09,245,Part-001 (High Vol),High Moving,North
2023-03-10,235,Part-001 (High Vol),High Moving,North
2023-03-11,255,Part-001 (High Vol),High Moving,North
2023-03-12,240,Part-001 (High Vol),High Moving,North
2023-03-13,238,Part-001 (High Vol),High Moving,North
2023-03-14,246,Part-001 (High Vol),High Moving,North
2023-03-15,275,Part-001 (High Vol),High Moving,North
2023-03-16,260,Part-001 (High Vol),High Moving,North
2023-03-17,222,Part-001 (High Vol),High Moving,North
2023-03-18,251,Part-001 (High Vol),High Moving,North
2023-03-19,215,Part-001 (High Vol),High Moving,North
2023-03-20,236,Part-001 (High Vol),High Moving,North
2023-03-21,224,Part-001 (High Vol),High Moving,North
2023-03-22,252,Part-001 (High Vol),High Moving,North
2023-03-23,231,Part-001 (High Vol),High Moving,North
2023-03-24,260,Part-001 (High Vol),High Moving,North
2023-03-25,252,Part-001 (High Vol),High Moving,North
2023-03-26,248,Part-001 (High Vol),High Moving,North
2023-03-27,239,Part-001 (High Vol),High Moving,North
2023-03-28,266,Part-001 (High Vol),High Moving,North
2023-03-29,240,Part-001 (High Vol),High Moving,North
2023-03-30,263,Part-001 (High Vol),High Moving,North
2023-03-31,271,Part-001 (High Vol),High Moving,North
2023-04-01,272,Part-001 (High Vol),High Moving,North
2023-04-02,268,Part-001 (High Vol),High Moving,North
2023-04-03,279,Part-001 (High Vol),High Moving,North
2023-04-04,305,Part-001 (High Vol),High Moving,North
2023-04-05,258,Part-001 (High Vol),High Moving,North
2023-04-06,284,Part-001 (High Vol),High Moving,North
2023-04-07,272,Part-001 (High Vol),High Moving,North
2023-04-08,256,Part-001 (High Vol),High Moving,North
2023-04-09,264,Part-001 (High Vol),High Moving,North
2023-04-10,292,Part-001 (High Vol),High Moving,North
2023-04-11,281,Part-001 (High Vol),High Moving,North
2023-04-12,276,Part-001 (High Vol),High Moving,North
2023-04-13,258,Part-001 (High Vol),High Moving,North
2023-04-14,273,Part-001 (High Vol),High Moving,North
2023-04-15,299,Part-001 (High Vol),High Moving,North
2023-04-16,264,Part-001 (High Vol),High Moving,North
2023-04-17,263,Part-001 (High Vol),High Moving,North
2023-04-18,275,Part-001 (High Vol),High Moving,North
2023-04-19,277,Part-001 (High Vol),High Moving,North
2023-04-20,251,Part-001 (High Vol),High Moving,North
2023-04-21,279,Part-001 (High Vol),High Moving,North
2023-04-22,222,Part-001 (High Vol),High Moving,North
2023-04-23,235,Part-001 (High Vol),High Moving,North
