date,demand_quantity,part_id,category,service_center
2023-01-01,112,Part-001 (High Vol),High Moving,South
2023-01-02,124,Part-001 (High Vol),High Moving,South
2023-01-03,125,Part-001 (High Vol),High Moving,South
2023-01-04,135,Part-001 (High Vol),High Moving,South
2023-01-05,114,Part-001 (High Vol),High Moving,South
2023-01-06,123,Part-001 (High Vol),High Moving,South
2023-01-07,105,Part-001 (High Vol),High Moving,South
2023-01-08,121,Part-001 (High Vol),High Moving,South
2023-01-09,131,Part-001 (High Vol),High Moving,South
2023-01-10,118,Part-001 (High Vol),High Moving,South
2023-01-11,128,Part-001 (High Vol),High Moving,South
2023-01-12,126,Part-001 (High Vol),High Moving,South
2023-01-13,128,Part-001 (High Vol),High Moving,South
2023-01-14,123,Part-001 (High Vol),High Moving,South
2023-01-15,122,Part-001 (High Vol),High Moving,South
2023-01-16,125,Part-001 (High Vol),High Moving,South
2023-01-17,128,Part-001 (High Vol),High Moving,South
2023-01-18,117,Part-001 (High Vol),High Moving,South
2023-01-19,125,Part-001 (High Vol),High Moving,South
2023-01-20,122,Part-001 (High Vol),High Moving,South
2023-01-21,132,Part-001 (High Vol),High Moving,South
2023-01-22,118,Part-001 (High Vol),High Moving,South
2023-01-23,113,Part-001 (High Vol),High Moving,South
2023-01-24,136,Part-001 (High Vol),High Moving,South
2023-01-25,95,Part-001 (High Vol),High Moving,South
2023-01-26,125,Part-001 (High Vol),High Moving,South
2023-01-27,121,Part-001 (High Vol),High Moving,South
2023-01-28,101,Part-001 (High Vol),High Moving,South
2023-01-29,122,Part-001 (High Vol),High Moving,South
2023-01-30,114,Part-001 (High Vol),High Moving,South
2023-01-31,105,Part-001 (High Vol),High Moving,South
2023-02-01,97,Part-001 (High Vol),High Moving,South
2023-02-02,114,Part-001 (High Vol),High Moving,South
2023-02-03,101,Part-001 (High Vol),High Moving,South
2023-02-04,95,Part-001 (High Vol),High Moving,South
2023-02-05,105,Part-001 (High Vol),High Moving,South
2023-02-06,105,Part-001 (High Vol),High Moving,South
2023-02-07,111,Part-001 (High Vol),High Moving,South
2023-02-08,109,Part-001 (High Vol),High Moving,South
2023-02-09,124,Part-001 (High Vol),High Moving,South
2023-02-10,120,Part-001 (High Vol),High Moving,South
2023-02-11,113,Part-001 (High Vol),High Moving,South
2023-02-12,107,Part-001 (High Vol),High Moving,South
2023-02-13,129,Part-001 (High Vol),High Moving,South
2023-02-14,127,Part-001 (High Vol),High Moving,South
2023-02-15,147,Part-001 (High Vol),High Moving,South
2023-02-16,124,Part-001 (High Vol),High Moving,South
2023-02-17,139,Part-001 (High Vol),High Moving,South
2023-02-18,129,Part-001 (High Vol),High Moving,South
2023-02-19,126,Part-001 (High Vol),High Moving,South
2023-02-20,111,Part-001 (High Vol),High Moving,South
2023-02-21,135,Part-001 (High Vol),High Moving,South
2023-02-22,120,Part-001 (High Vol),High Moving,South
2023-02-23,123,Part-001 (High Vol),High Moving,South
2023-02-24,128,Part-001 (High Vol),High Moving,South
2023-02-25,126,Part-001 (High Vol),High Moving,South
2023-02-26,113,Part-001 (High Vol),High Moving,South
2023-02-27,121,Part-001 (High Vol),High Moving,South
2023-02-28,137,Part-001 (High Vol),High Moving,South
2023-03-01,134,Part-001 (High Vol),High Moving,South
2023-03-02,134,Part-001 (High Vol),High Moving,South
2023-03-03,127,Part-001 (High Vol),High Moving,South
2023-03-04,131,Part-001 (High Vol),High Moving,South
2023-03-05,126,Part-001 (High Vol),High Moving,South
2023-03-06,120,Part-001 (High Vol),High Moving,South
2023-03-07,132,Part-001 (High Vol),High Moving,South
2023-03-08,117,Part-001 (High Vol),High Moving,South
2023-03-09,110,Part-001 (High Vol),High Moving,South
2023-03-10,129,Part-001 (High Vol),High Moving,South
2023-03-11,128,Part-001 (High Vol),High Moving,South
2023-03-12,98,Part-001 (High Vol),High Moving,South
2023-03-13,119,Part-001 (High Vol),High Moving,South
2023-03-14,91,Part-001 (High Vol),High Moving,South
2023-03-15,122,Part-001 (High Vol),High Moving,South
2023-03-16,101,Part-001 (High Vol),High Moving,South
2023-03-17,118,Part-001 (High Vol),High Moving,South
2023-03-18,104,Part-001 (High Vol),High Moving,South
2023-03-19,113,Part-001 (High Vol),High Moving,South
2023-03-20,96,Part-001 (High Vol),High Moving,South
2023-03-21,107,Part-001 (High Vol),High Moving,South
2023-03-22,110,Part-001 (High Vol),High Moving,South
2023-03-23,121,Part-001 (High Vol),High Moving,South
2023-03-24,130,Part-001 (High Vol),High Moving,South
2023-03-25,119,Part-001 (High Vol),High Moving,South
2023-03-26,117,Part-001 (High Vol),High Moving,South
2023-03-27,105,Part-001 (High Vol),High Moving,South
2023-03-28,103,Part-001 (High Vol),High Moving,South
2023-03-29,120,Part-001 (High Vol),High Moving,South
2023-03-30,121,Part-001 (High Vol),High Moving,South
2023-03-31,127,Part-001 (High Vol),High Moving,South
2023-04-01,130,Part-001 (High Vol),High Moving,South
2023-04-02,128,Part-001 (High Vol),High Moving,South
2023-04-03,111,Part-001 (High Vol),High Moving,South
2023-04-04,136,Part-001 (High Vol),High Moving,South
2023-04-05,127,Part-001 (High Vol),High Moving,South
2023-04-06,119,Part-001 (High Vol),High Moving,South
2023-04-07,125,Part-001 (High Vol),High Moving,South
2023-04-08,116,Part-001 (High Vol),High Moving,South
2023-04-09,127,Part-001 (High Vol),High Moving,South
2023-04-10,138,Part-001 (High Vol),High Moving,South
2023-04-11,127,Part-001 (High Vol),High Moving,South
2023-04-12,121,Part-001 (High Vol),High Moving,South
2023-04-13,127,Part-001 (High Vol),High Moving,South
2023-04-14,133,Part-001 (High Vol),High Moving,South
2023-04-15,114,Part-001 (High Vol),High Moving,South
2023-04-16,117,Part-001 (High Vol),High Moving,South
2023-04-17,127,Part-001 (High Vol),High Moving,South
2023-04-18,112,Part-001 (High Vol),High Moving,South
2023-04-19,143,Part-001 (High Vol),High Moving,South
2023-04-20,120,Part-001 (High Vol),High Moving,South
2023-04-21,111,Part-001 (High Vol),High Moving,South
2023-04-22,111,Part-001 (High Vol),High Moving,South
2023-04-23,113,Part-001 (High Vol),High Moving,South
2023-04-24,111,Part-001 (High Vol),High Moving,South
2023-04-25,94,Part-001 (High Vol),High Moving,South
2023-04-26,127,Part-001 (High Vol),High Moving,South
2023-04-27,113,Part-001 (High Vol),High Moving,South
2023-04-28,112,Part-001 (High Vol),High Moving,South
2023-04-29,120,Part-001 (High Vol),High Moving,South
2023-04-30,101,Part-001 (High Vol),High Moving,South
2023-05-01,103,Part-001 (High Vol),High Moving,South
2023-05-02,115,Part-001 (High Vol),High Moving,South
2023-05-03,110,Part-001 (High Vol),High Moving,South
2023-05-04,115,Part-001 (High Vol),High Moving,South
2023-05-05,111,Part-001 (High Vol),High Moving,South
2023-05-06,110,Part-001 (High Vol),High Moving,South
2023-05-07,128,Part-001 (High Vol),High Moving,South
2023-05-08,125,Part-001 (High Vol),High Moving,South
2023-05-09,91,Part-001 (High Vol),High Moving,South
2023-05-10,132,Part-001 (High Vol),High Moving,South
2023-05-11,140,Part-001 (High Vol),High Moving,South
2023-05-12,132,Part-001 (High Vol),High Moving,South
2023-05-13,119,Part-001 (High Vol),High Moving,South
2023-05-14,116,Part-001 (High Vol),High Moving,South
2023-05-15,131,Part-001 (High Vol),High Moving,South
2023-05-16,119,Part-001 (High Vol),High Moving,South
2023-05-17,130,Part-001 (High Vol),High Moving,South
2023-05-18,128,Part-001 (High Vol),High Moving,South
2023-05-19,141,Part-001 (High Vol),High Moving,South
2023-05-20,126,Part-001 (High Vol),High Moving,South
2023-05-21,126,Part-001 (High Vol),High Moving,South
2023-05-22,135,Part-001 (High Vol),High Moving,South
2023-05-23,151,Part-001 (High Vol),High Moving,South
2023-05-24,132,Part-001 (High Vol),High Moving,South
2023-05-25,127,Part-001 (High Vol),High Moving,South
2023-05-26,140,Part-001 (High Vol),High Moving,South
2023-05-27,138,Part-001 (High Vol),High Moving,South
2023-05-28,120,Part-001 (High Vol),High Moving,South
2023-05-29,124,Part-001 (High Vol),High Moving,South
2023-05-30,139,Part-001 (High Vol),High Moving,South
2023-05-31,131,Part-001 (High Vol),High Moving,South
2023-06-01,101,Part-001 (High Vol),High Moving,South
2023-06-02,129,Part-001 (High Vol),High Moving,South
2023-06-03,132,Part-001 (High Vol),High Moving,South
2023-06-04,113,Part-001 (High Vol),High Moving,South
2023-06-05,127,Part-001 (High Vol),High Moving,South
2023-06-06,138,Part-001 (High Vol),High Moving,South
2023-06-07,122,Part-001 (High Vol),High Moving,South
2023-06-08,110,Part-001 (High Vol),High Moving,South
2023-06-09,110,Part-001 (High Vol),High Moving,South
2023-06-10,114,Part-001 (High Vol),High Moving,South
2023-06-11,117,Part-001 (High Vol),High Moving,South
2023-06-12,113,Part-001 (High Vol),High Moving,South
2023-06-13,117,Part-001 (High Vol),High Moving,South
2023-06-14,111,Part-001 (High Vol),High Moving,South
2023-06-15,114,Part-001 (High Vol),High Moving,South
2023-06-16,122,Part-001 (High Vol),High Moving,South
2023-06-17,102,Part-001 (High Vol),High Moving,South
2023-06-18,114,Part-001 (High Vol),High Moving,South
2023-06-19,115,Part-001 (High Vol),High Moving,South
2023-06-20,124,Part-001 (High Vol),High Moving,South
2023-06-21,113,Part-001 (High Vol),High Moving,South
2023-06-22,123,Part-001 (High Vol),High Moving,South
2023-06-23,129,Part-001 (High Vol),High Moving,South
2023-06-24,101,Part-001 (High Vol),High Moving,South
2023-06-25,133,Part-001 (High Vol),High Moving,South
2023-06-26,113,Part-001 (High Vol),High Moving,South
2023-06-27,113,Part-001 (High Vol),High Moving,South
2023-06-28,97,Part-001 (High Vol),High Moving,South
2023-06-29,119,Part-001 (High Vol),High Moving,South
2023-06-30,128,Part-001 (High Vol),High Moving,South
2023-07-01,125,Part-001 (High Vol),High Moving,South
2023-07-02,126,Part-001 (High Vol),High Moving,South
2023-07-03,120,Part-001 (High Vol),High Moving,South
2023-07-04,140,Part-001 (High Vol),High Moving,South
2023-07-05,142,Part-001 (High Vol),High Moving,South
2023-07-06,137,Part-001 (High Vol),High Moving,South
2023-07-07,114,Part-001 (High Vol),High Moving,South
2023-07-08,155,Part-001 (High Vol),High Moving,South
2023-07-09,134,Part-001 (High Vol),High Moving,South
2023-07-10,137,Part-001 (High Vol),High Moving,South
2023-07-11,116,Part-001 (High Vol),High Moving,South
2023-07-12,130,Part-001 (High Vol),High Moving,South
2023-07-13,133,Part-001 (High Vol),High Moving,South
2023-07-14,127,Part-001 (High Vol),High Moving,South
2023-07-15,136,Part-001 (High Vol),High Moving,South
2023-07-16,139,Part-001 (High Vol),High Moving,South
2023-07-17,111,Part-001 (High Vol),High Moving,South
2023-07-18,131,Part-001 (High Vol),High Moving,South
2023-07-19,125,Part-001 (High Vol),High Moving,South
