date,demand_quantity,part_id,category,service_center
2023-01-01,352,Part-001 (High Vol),High Moving,North
2023-01-02,350,Part-001 (High Vol),High Moving,North
2023-01-03,367,Part-001 (High Vol),High Moving,North
2023-01-04,377,Part-001 (High Vol),High Moving,North
2023-01-05,365,Part-001 (High Vol),High Moving,North
2023-01-06,436,Part-001 (High Vol),High Moving,North
2023-01-07,350,Part-001 (High Vol),High Moving,North
2023-01-08,395,Part-001 (High Vol),High Moving,North
2023-01-09,392,Part-001 (High Vol),High Moving,North
2023-01-10,328,Part-001 (High Vol),High Moving,North
2023-01-11,307,Part-001 (High Vol),High Moving,North
2023-01-12,368,Part-001 (High Vol),High Moving,North
2023-01-13,324,Part-001 (High Vol),High Moving,North
2023-01-14,408,Part-001 (High Vol),High Moving,North
2023-01-15,402,Part-001 (High Vol),High Moving,North
2023-01-16,321,Part-001 (High Vol),High Moving,North
2023-01-17,330,Part-001 (High Vol),High Moving,North
2023-01-18,395,Part-001 (High Vol),High Moving,North
2023-01-19,400,Part-001 (High Vol),High Moving,North
2023-01-20,331,Part-001 (High Vol),High Moving,North
2023-01-21,313,Part-001 (High Vol),High Moving,North
2023-01-22,368,Part-001 (High Vol),High Moving,North
2023-01-23,329,Part-001 (High Vol),High Moving,North
2023-01-24,350,Part-001 (High Vol),High Moving,North
2023-01-25,306,Part-001 (High Vol),High Moving,North
2023-01-26,320,Part-001 (High Vol),High Moving,North
2023-01-27,268,Part-001 (High Vol),High Moving,North
2023-01-28,333,Part-001 (High Vol),High Moving,North
2023-01-29,307,Part-001 (High Vol),High Moving,North
2023-01-30,277,Part-001 (High Vol),High Moving,North
2023-01-31,273,Part-001 (High Vol),High Moving,North
2023-02-01,286,Part-001 (High Vol),High Moving,North
2023-02-02,270,Part-001 (High Vol),High Moving,North
2023-02-03,340,Part-001 (High Vol),High Moving,North
2023-02-04,267,Part-001 (High Vol),High Moving,North
2023-02-05,280,Part-001 (High Vol),High Moving,North
2023-02-06,295,Part-001 (High Vol),High Moving,North
2023-02-07,321,Part-001 (High Vol),High Moving,North
2023-02-08,263,Part-001 (High Vol),High Moving,North
2023-02-09,346,Part-001 (High Vol),High Moving,North
2023-02-10,326,Part-001 (High Vol),High Moving,North
2023-02-11,309,Part-001 (High Vol),High Moving,North
2023-02-12,331,Part-001 (High Vol),High Moving,North
2023-02-13,317,Part-001 (High Vol),High Moving,North
2023-02-14,332,Part-001 (High Vol),High Moving,North
2023-02-15,353,Part-001 (High Vol),High Moving,North
2023-02-16,330,Part-001 (High Vol),High Moving,North
2023-02-17,310,Part-001 (High Vol),High Moving,North
2023-02-18,362,Part-001 (High Vol),High Moving,North
2023-02-19,326,Part-001 (High Vol),High Moving,North
2023-02-20,338,Part-001 (High Vol),High Moving,North
2023-02-21,344,Part-001 (High Vol),High Moving,North
2023-02-22,397,Part-001 (High Vol),High Moving,North
2023-02-23,409,Part-001 (High Vol),High Moving,North
2023-02-24,422,Part-001 (High Vol),High Moving,North
2023-02-25,432,Part-001 (High Vol),High Moving,North
2023-02-26,382,Part-001 (High Vol),High Moving,North
2023-02-27,381,Part-001 (High Vol),High Moving,North
2023-02-28,386,Part-001 (High Vol),High Moving,North
2023-03-01,391,Part-001 (High Vol),High Moving,North
2023-03-02,366,Part-001 (High Vol),High Moving,North
2023-03-03,371,Part-001 (High Vol),High Moving,North
2023-03-04,369,Part-001 (High Vol),High Moving,North
2023-03-05,329,Part-001 (High Vol),High Moving,North
2023-03-06,348,Part-001 (High Vol),High Moving,North
2023-03-07,319,Part-001 (High Vol),High Moving,North
2023-03-08,361,Part-001 (High Vol),High Moving,North
2023-03-09,363,Part-001 (High Vol),High Moving,North
2023-03-10,291,Part-001 (High Vol),High Moving,North
2023-03-11,311,Part-001 (High Vol),High Moving,North
2023-03-12,404,Part-001 (High Vol),High Moving,North
2023-03-13,274,Part-001 (High Vol),High Moving,North
2023-03-14,325,Part-001 (High Vol),High Moving,North
2023-03-15,265,Part-001 (High Vol),High Moving,North
2023-03-16,299,Part-001 (High Vol),High Moving,North
2023-03-17,251,Part-001 (High Vol),High Moving,North
2023-03-18,320,Part-001 (High Vol),High Moving,North
2023-03-19,319,Part-001 (High Vol),High Moving,North
2023-03-20,355,Part-001 (High Vol),High Moving,North
2023-03-21,328,Part-001 (High Vol),High Moving,North
2023-03-22,294,Part-001 (High Vol),High Moving,North
2023-03-23,300,Part-001 (High Vol),High Moving,North
2023-03-24,282,Part-001 (High Vol),High Moving,North
2023-03-25,296,Part-001 (High Vol),High Moving,North
2023-03-26,350,Part-001 (High Vol),High Moving,North
2023-03-27,301,Part-001 (High Vol),High Moving,North
2023-03-28,337,Part-001 (High Vol),High Moving,North
2023-03-29,330,Part-001 (High Vol),High Moving,North
2023-03-30,342,Part-001 (High Vol),High Moving,North
2023-03-31,395,Part-001 (High Vol),High Moving,North
2023-04-01,371,Part-001 (High Vol),High Moving,North
2023-04-02,363,Part-001 (High Vol),High Moving,North
2023-04-03,397,Part-001 (High Vol),High Moving,North
2023-04-04,383,Part-001 (High Vol),High Moving,North
2023-04-05,359,Part-001 (High Vol),High Moving,North
2023-04-06,384,Part-001 (High Vol),High Moving,North
2023-04-07,363,Part-001 (High Vol),High Moving,North
2023-04-08,385,Part-001 (High Vol),High Moving,North
2023-04-09,416,Part-001 (High Vol),High Moving,North
2023-04-10,369,Part-001 (High Vol),High Moving,North
2023-04-11,445,Part-001 (High Vol),High Moving,North
2023-04-12,402,Part-001 (High Vol),High Moving,North
2023-04-13,398,Part-001 (High Vol),High Moving,North
2023-04-14,400,Part-001 (High Vol),High Moving,North
2023-04-15,402,Part-001 (High Vol),High Moving,North
2023-04-16,365,Part-001 (High Vol),High Moving,North
2023-04-17,304,Part-001 (High Vol),High Moving,North
2023-04-18,366,Part-001 (High Vol),High Moving,North
2023-04-19,312,Part-001 (High Vol),High Moving,North
2023-04-20,380,Part-001 (High Vol),High Moving,North
2023-04-21,361,Part-001 (High Vol),High Moving,North
2023-04-22,348,Part-001 (High Vol),High Moving,North
2023-04-23,361,Part-001 (High Vol),High Moving,North
2023-04-24,397,Part-001 (High Vol),High Moving,North
2023-04-25,294,Part-001 (High Vol),High Moving,North
2023-04-26,371,Part-001 (High Vol),High Moving,North
2023-04-27,357,Part-001 (High Vol),High Moving,North
2023-04-28,294,Part-001 (High Vol),High Moving,North
2023-04-29,312,Part-001 (High Vol),High Moving,North
2023-04-30,318,Part-001 (High Vol),High Moving,North
2023-05-01,323,Part-001 (High Vol),High Moving,North
2023-05-02,299,Part-001 (High Vol),High Moving,North
2023-05-03,296,Part-001 (High Vol),High Moving,North
2023-05-04,345,Part-001 (High Vol),High Moving,North
2023-05-05,253,Part-001 (High Vol),High Moving,North
2023-05-06,262,Part-001 (High Vol),High Moving,North
2023-05-07,329,Part-001 (High Vol),High Moving,North
2023-05-08,343,Part-001 (High Vol),High Moving,North
2023-05-09,314,Part-001 (High Vol),High Moving,North
2023-05-10,360,Part-001 (High Vol),High Moving,North
2023-05-11,340,Part-001 (High Vol),High Moving,North
2023-05-12,381,Part-001 (High Vol),High Moving,North
2023-05-13,370,Part-001 (High Vol),High Moving,North
2023-05-14,354,Part-001 (High Vol),High Moving,North
2023-05-15,373,Part-001 (High Vol),High Moving,North
2023-05-16,371,Part-001 (High Vol),High Moving,North
2023-05-17,316,Part-001 (High Vol),High Moving,North
2023-05-18,352,Part-001 (High Vol),High Moving,North
2023-05-19,340,Part-001 (High Vol),High Moving,North
2023-05-20,378,Part-001 (High Vol),High Moving,North
2023-05-21,377,Part-001 (High Vol),High Moving,North
2023-05-22,388,Part-001 (High Vol),High Moving,North
2023-05-23,417,Part-001 (High Vol),High Moving,North
2023-05-24,400,Part-001 (High Vol),High Moving,North
2023-05-25,387,Part-001 (High Vol),High Moving,North
2023-05-26,414,Part-001 (High Vol),High Moving,North
2023-05-27,396,Part-001 (High Vol),High Moving,North
2023-05-28,426,Part-001 (High Vol),High Moving,North
2023-05-29,362,Part-001 (High Vol),High Moving,North
2023-05-30,400,Part-001 (High Vol),High Moving,North
2023-05-31,475,Part-001 (High Vol),High Moving,North
2023-06-01,364,Part-001 (High Vol),High Moving,North
2023-06-02,378,Part-001 (High Vol),High Moving,North
2023-06-03,394,Part-001 (High Vol),High Moving,North
2023-06-04,336,Part-001 (High Vol),High Moving,North
2023-06-05,371,Part-001 (High Vol),High Moving,North
2023-06-06,326,Part-001 (High Vol),High Moving,North
